id;order_date;price;finish_date;user_photo_url;courier_photo_url;end_order_photo_url;order_start_date;order_finish_date;order_status;courier_ratio;user_ratio
1;2021-02-24T07:30:05;32217;2021-02-24T01:21:37;reboot synthesize holistic;Malaysian Ringgit Convertible Marks;salmon upward-trending connect;2021-02-24T07:05:01;2021-02-24T08:27:19;IN_PROGRESS;80077;29939
2;2021-02-24T14:49:46;87953;2021-02-24T04:24:18;Lek RSS;integrate synergize;Legacy Rial Omani;2021-02-24T07:40:50;2021-02-24T05:51:08;CANCELED;59066;95773
3;2021-02-23T20:58:28;54519;2021-02-24T12:09:28;Small Soft Salad Cotton;olive web-enabled neutral;SDD Minnesota;2021-02-24T11:50:59;2021-02-24T07:16:16;ASSIGNED;45390;9978
4;2021-02-24T12:17:07;90448;2021-02-24T10:17:05;Brand;Indian Rupee Ngultrum solid state;Handcrafted Fresh Salad Health RSS;2021-02-24T15:18:34;2021-02-24T08:46:29;COMPLETED;73833;78745
5;2021-02-24T02:47:46;82880;2021-02-24T06:01:03;Pizza;architectures;Uruguay Auto Loan Account even-keeled;2021-02-24T15:35:39;2021-02-24T07:51:49;CANCELED;91977;82216
6;2021-02-24T04:00:37;78163;2021-02-23T21:05:50;Rustic Table Tasty Plastic Fish;visionary initiatives methodical;Refined Granite GB;2021-02-23T23:38:12;2021-02-24T16:50:10;NEW;11686;18730
7;2021-02-24T10:40:05;98677;2021-02-24T07:39:39;copy;Clothing;mobile tertiary;2021-02-24T15:32:40;2021-02-24T14:23:50;IN_PROGRESS;92559;65401
8;2021-02-24T05:37:45;86733;2021-02-24T14:04:22;Refined Granite Chips quantifying Mexico;Licensed Group;firmware programming;2021-02-24T04:24:02;2021-02-24T12:44:02;CANCELED;5145;9460
9;2021-02-23T19:54:35;96501;2021-02-24T09:03:20;North Carolina virtual;Outdoors Future;schemas deposit Table;2021-02-24T14:01:25;2021-02-24T15:51:51;IN_PROGRESS;24036;91934
10;2021-02-24T12:33:48;7168;2021-02-23T19:57:54;Mountain Awesome Soft Chips;withdrawal;mobile Stand-alone;2021-02-24T01:32:27;2021-02-24T04:46:26;IN_PROGRESS;77437;51073
