id;shift_plan_start_date;shift_fact_start_date;shift_plan_end_date;shift_fact_end_date;prepaid
1;2021-02-24T09:41:35;2021-02-24T02:33:58;2021-02-24T18:18:43;2021-02-23T21:04:36;false
2;2021-02-24T11:18:14;2021-02-24T04:44:31;2021-02-23T21:33:06;2021-02-23T22:53:39;true
3;2021-02-24T04:43:16;2021-02-24T08:30:44;2021-02-24T02:20:34;2021-02-24T05:09:51;true
4;2021-02-24T08:51:57;2021-02-23T20:45:58;2021-02-24T16:00:55;2021-02-24T00:48:50;false
5;2021-02-24T12:21:29;2021-02-24T10:50:27;2021-02-24T04:04:24;2021-02-24T00:02:26;true
6;2021-02-24T13:40:05;2021-02-24T02:24:38;2021-02-24T05:40:42;2021-02-24T11:15:26;false
7;2021-02-24T10:29:20;2021-02-24T03:45:10;2021-02-24T14:17:22;2021-02-24T01:21:24;false
8;2021-02-24T08:22:34;2021-02-24T09:09:03;2021-02-24T18:10:16;2021-02-24T14:23:13;false
9;2021-02-24T05:59:05;2021-02-24T17:51:27;2021-02-24T15:04:49;2021-02-24T18:39:18;true
10;2021-02-24T04:16:24;2021-02-23T23:14:51;2021-02-24T10:08:01;2021-02-24T18:36:21;true
